codigo,nombre,categoria,estado,municipio,altitud,longitud,latitud,fecha_instalacion,fecha_suspension
35070550,VALLE GRANDE [35070550],Pluviográfica,Activa,Tenza,1830,-73.42691667,5.056611111,1984-05-15,
2403500364,ESTACIÓN CONFLUENCIA TUTA - CHICAMOCHA  - AUT [2403500364],Climatológica Ordinaria,Activa,Tuta,2538,-73.222407222,5.708022222,2016-10-09,
35070140,ALMEIDA [35070140],Pluviográfica,Suspendida,Almeida,1910,-73.38333333,4.966666667,1962-03-15,
2403500370,ESTACIÓN VEREDA AGUATENDIDA - AUT [2403500370],Climatológica Ordinaria,Activa,Duitama,2482,-73.022045556,5.784761389,2016-10-09,
35190060,CINTAS LAS-SOGAMOS  [35190060],Pluviométrica,Suspendida,Sogamoso,3300,-72.83333333,5.6,1941-01-15,
2403500365,ESTACIÓN ELECTROSOCHAGOTA - AUT [2403500365],Climatológica Ordinaria,Activa,Paipa,2496,-73.160743056,5.7590625,2016-10-09,
24015509,ARCABUCO-24015509  - AUT  [24015509],Pluviométrica,Activa,Arcabuco,2547,-73.44497222,5.761611111,,
24035010,CUSAGUI [24035010],Climatológica Ordinaria,Activa,La Uvita,2950,-72.54888889,6.248111111,1986-05-15,
2403000113,LAS CAÑAS - AUT [2403000113],Pluviométrica,Activa,Chiscas,3343,-72.4836,6.6058,2019-07-22,
23110020,TALADRO EL  [23110020],Pluviométrica,Suspendida,Puerto Boyacá,150,-74.6,5.966666667,1965-10-15,
24015516,RAQUIRA-24015516  - AUT  [24015516],Pluviométrica,Activa,Ráquira,2193,-73.63147222,5.538611111,,
35080120,CEDROS EL PUENTE [35080120],Pluviométrica,Suspendida,Campohermoso,1820,-73.21666667,5.0,1984-05-15,
35070400,GUAYATA [35070400],Pluviométrica,Suspendida,Guayatá,1580,-73.48333333,4.966666667,1939-05-15,
24035280,CHAPA LA [24035280],Climatológica Ordinaria,Suspendida,Socha,2680,-72.73333333,5.966666667,1974-06-15,
35070010,RAMIRIQUI [35070010],Pluviográfica,Activa,Ramiriquí,2360,-73.33297222,5.399527778,1957-06-15,
35235010,CARDON EL AUT [35235010],Climatológica Ordinaria,Activa,Socotá,3590,-72.52927778,6.011666667,1974-05-15,
35080080,PIEDRA CAMPANA [35080080],Pluviométrica,Activa,Santa María,450,-73.23408333,4.860388889,1962-03-15,
24015140,BALSA LA  [24015140],Climatológica Ordinaria,Suspendida,Chiquinquirá,2537,-73.8,5.633333333,1960-04-15,
35070250,TENZA [35070250],Pluviométrica,Suspendida,Tenza,1507,-73.41666667,5.083333333,1962-03-15,
24035510,TASCO-24035510  - AUT  [24035510],Pluviométrica,Activa,Tasco,2534,-72.78380556,5.909277778,,
35070470,ESCUELA LOS MOLINOS [35070470],Pluviométrica,Activa,Almeida,2150,-73.41016667,4.950416667,1982-08-15,
24010160,VILLA DE LEIVA [24010160],Pluviométrica,Suspendida,Villa De Leiva,2200,-73.53333333,5.633333333,1958-01-15,
24010840,PANELAS [24010840],Pluviométrica,Activa,Motavita,3195,-73.38647056,5.634381111,1980-08-15,
23120020,BORBUR  [23120020],Pluviométrica,Suspendida,San Pablo De Borbur,830,-74.08333333,5.666666667,1955-08-15,
35215030,Pisba - Aut [35215030],Climatológica Ordinaria,Activa,Pisva,1482,-72.48847222,5.720555556,2016-12-15,
35070270,CAPILLA DE TENZA  [35070270],Pluviográfica,Suspendida,Tenza,1500,-73.45,5.083333333,1938-04-15,
24030230,IZA [24030230],Pluviométrica,Activa,Iza,2470,-72.97627778,5.6155,1958-02-15,
24030120,PESCA [24030120],Pluviográfica,Activa,Pesca,2678,-73.07684778,5.523033056,1957-02-15,
35090080,ALTO LA PUERTA  [35090080],Pluviométrica,Activa,Aquitania,3250,-72.98333333,5.483333333,1989-09-15,
24031040,CRECIENTE LA [24031040],Pluviométrica,Suspendida,Santa Rosa De Viterbo,2500,-72.98333333,5.816666667,1981-07-15,
24010970,STO DOMINGO  [24010970],Pluviométrica,Suspendida,Samacá,3200,-73.48333333,5.5,1942-04-15,
24030650,TUTAZA [24030650],Pluviométrica,Activa,Tutazá,2833,-72.85561111,6.033611111,1974-06-15,
35080040,RONDON [35080040],Pluviométrica,Suspendida,Rondón,2160,-73.21666667,5.35,1957-06-15,
35090090,HATO VIEJO  [35090090],Pluviométrica,Activa,Aquitania,3388,-72.85,5.516666667,1989-09-15,
35070090,JUNTAS LAS [35070090],Pluviométrica,Suspendida,Garagoa,1550,-73.38333333,5.016666667,1962-01-15,
24030860,CAPILLA LA [24030860],Pluviométrica,Activa,Tutazá,2800,-72.86666667,6.100722222,1980-08-15,
35070310,TEATINOS [35070310],Pluviográfica,Activa,Samacá,3250,-73.37577778,5.422822222,1990-04-15,
2403500373,ESTACIÓN PUENTE ACERIAS AUT [2403500373],Climatológica Ordinaria,Activa,Paz De Rio,2204,-72.743186389,5.988251389,2016-10-09,
24010720,ESPEJO EL  [24010720],Pluviométrica,Activa,Togüí,1750,-73.53333333,5.916666667,1969-01-15,
24011110,POTRERO CEBA [24011110],Pluviométrica,Suspendida,Moniquirá,20,-73.55,5.833333333,1990-11-15,
24030420,PILA LA FINCA [24030420],Pluviométrica,Activa,Soracá,2873,-73.31072222,5.518916667,1992-05-15,
24030830,CHAPETON EL [24030830],Pluviométrica,Suspendida,San Mateo,1100,-72.61666667,6.45,1980-08-15,
24030280,BOAVITA [24030280],Pluviométrica,Suspendida,Boavita,20,-72.6,6.333333333,1958-07-15,
24035020,BETEITIVA [24035020],Climatológica Ordinaria,Activa,Betéitiva,2575,-72.81061111,5.907277778,1981-12-15,
24015200,ALTO SABOYÁ [24015200],Climatológica Ordinaria,Activa,Saboyá,3360,-73.81666667,5.716666667,1965-02-15,
24015090,INSTITUCION AGRICOLA SANTA SOFIA [24015090],Climatológica Ordinaria,Activa,Santa Sofía,2300,-73.60227778,5.710666667,1986-04-15,
24010950,FABRICAS LAS  [24010950],Pluviométrica,Suspendida,Samacá,3000,-73.55,5.466666667,1933-04-15,
35070130,QUEBRADA HONDA [35070130],Pluviométrica,Activa,Macanal,1200,-73.30797222,4.95025,1957-10-15,
24030360,CHISCAS [24030360],Pluviométrica,Suspendida,Chiscas,2480,-72.5,6.533333333,1959-02-15,
35070210,PACHAVITA [35070210],Pluviométrica,Activa,Pachavita,2160,-73.39563889,5.13925,1976-03-15,
23120130,STA BARBARA  [23120130],Pluviométrica,Suspendida,San Pablo De Borbur,1180,-74.18333333,5.633333333,1963-04-15,
24035040,LA COPA [24035040],Climatológica Ordinaria,Activa,Toca,2700,-73.208777778,5.579194444,1991-12-15,
35070220,JENESANO [35070220],Pluviográfica,Suspendida,Jenesano,2110,-73.36666667,5.416666667,1979-12-15,
24010630,ARCABUCO [24010630],Pluviométrica,Activa,Arcabuco,2600,-73.44413889,5.760583333,1974-02-15,
